SideCode,SiteName,RelFeatureType,RelFeatureDescription,ReligiousAffiliation,DeityName,RelFeatureDate,BasisOfDate,Sculptures?,SculptureNotes,Inscription(s)?,InscriptionText,InscriptionNotes,AssociatedFeatures,AssociatedArtefacts,SiteInterpretation,InterpretationNotes,,,,,,,,,,,,,,,,
GRL03,Gaurala (Old Temple Remains),Temple,Carved architectural and sculptural remains scattered around the site and immediate vicinity of later (Late Medieval / Early Modern) Ganesh temple (GRL02),Brahmanical (Unknown sect),Unknown,Early Medieval,Architectural style,Yes,None,No,NA,NA,Rock cut caves,,"Single temple, Brahmanical (Unknown sect)",The high concentration of displaced carved architectural remains in this location indicates that this is the site of an earlier temple structure,,,,,,,,,,,,,,,,
GRL04,Yovnashva,Temple,None,Brahmanical (Unknown sect),Unknown,AD1104,Epigraphic Evidence?,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
GTC01,Ghanta- Chowki ,Temple,Unknown,Unidentified,Unknown,11th-12th century AD,Architectural style,Yes,None,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
HTD02,Hatodi,Temple,"Stone built temple, Possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
IRG01,Induranga,Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
JBD03,Jafrabad,Temple ,Temple remains,Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Mound belonging to historical period,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
JGD01,Jugad,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
JKP01,Jagankupi,Cave,Length- 9 ft 7 inch; width- 8 ft 7 inch; height- 5 ft 6 inch,Buddhist,N/A,3rd century AD,Epigraphic Evidence,No,NA,Yes,Unknown,Outer wall of the cave. The characters in the inscription is not clear,Unknown,Unknown,"Single cave, Buddhist",None,,,,,,,,,,,,,,,,
JPL01,Japala ,Temple,"Japala temple, located on the east side of water tank to which it is connected by stone stairs. Possible dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
JPR01,Jakhpur,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
JSL01,Junasurla,Temple,"East facing; Bhumija style; Mandap, Antral, Garbhagriha, outer wall ornated with sculptures   ",Brahmanical (Vaishnava),Unknown,12th-13 th century AD,Architectural style,Yes,"Vishnavite deity in Garbhagruha, Outer wall decorated with deities, Sursundhari, mithun figures and narratives out of which Samudramanthan narration need special mention.",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
JVG01,Javalgaon,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KBD01,Kesarabodi,Temple ,No remains were found by explorer but Henry Cuzzon reports ancient temple from this place.,Unidentified,Unknown,Unknown,NA,No,NA,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
KBS01,Kunwara Bhimsen,Cave,3 caves with Vishnu sculptures,Brahmanical (Vaishnava),Unknown,Vakataka,Unrecorded,Yes,Vishnu Sculptures,Unknown,NA,NA,Unknown,Unknown,"Multiple cave complex, Brahmanical (Vishnava)",None,,,,,,,,,,,,,,,,
KCG01,Kachargad,Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KDL01,Kondhali,Cave,"3 caves. Cave 1- (depth- 2.3 m, width- 2.15 m and  ht  1.2 m) is
situated at a height of 37.5 m on the western side of
the hill. 10 cm X 10 cm and 15 to 17 cm deep holes on
either side of the mouth of the cave and small groove
on the upper edge of the cave are worth mentioning.
Cave 2- (width- 5.2 m, depth- 8.5 m, ht varying between 1.4 m
and 1.45 m.) located at a height of 34.2 m, on the
northern slope of the hill.  
Cave 3 is situated on the same slope as Cave 2
at a height of 14.8 m from the ground level. It is the
biggest of the three, measuring 3 m wide at the
entrance but 4.3 m at the back with its height varying
between 1.9 m near the entrance and 3.6 m at the
back. A shallow niche (lm X lm) dug out in the
left side-wall of the cave was found empty.
Another narrow and very deep tunnel has been
noticed on the right side at the back of the cave at
the floor level. Excepting at one or two places, there
seems to have been an attempt at smoothening the walls or back of the cave.  It is unclear whether this is the same group of caves recorded four years previously (IAR 1994-95:58), where a group of four caves with differing dimensions are reported in the Ramgarh Hills. They have been classed as different sites for the purposes of this census.",Unidentified,Unknown,Unknown,NA,No,NA,No,NA,NA,None,None,"Multiple cave complex, Undetermined",None,,,,,,,,,,,,,,,,
KDL03,Khandala,Temple,"Hanuman temple, possible dating to the late medieval period",Brahmanical (Shaivite),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
KDS01,Kavadasa- Shirpur ,Cave,"2 caves; 130 ft and 100 ft area each, 5ft ht; niches",Buddhist,N/A,Unknown,NA,No,NA,No,NA,NA,None,None,"Multiple cave complex, Buddhist",None,,,,,,,,,,,,,,,,
KGD01,Kunghada Rock Cut Cave,Cave,"Towards south west of the village is located rock cut cave complex of five small caves. These caves are carved in sandstone boulders. The face of these caves is oriented between 90 to 180 degrees. Cave 1. is located at 20 37 29.11 N, 79 39 09.24 E. This is a single chambered cave with a verandah. No sculptural remains are found here. Cave 2 is architecturally similar to cave one and is located next to it. Cave three is also same as cave 1 and 2 and it is located 3 meters behind cave 1. All these caves are carved in sandstone boulders and does not bear any carving or inscription. Cave no 4 is also a small cave and is located at 20 37 30.57N, 79 39 09.82E. This is also carved in a large sandstone boulder. It is also a single chambered cave with one verandah. The only difference is that its verandah has one pillar in the centre. Cave no. five is located  at 20 37 31.08N, 79 39 11.15E. It is a single chambered cave with no verandah but a shed in front of it. One small human form is carved near the entrance of this cave.",Unidentified,Unknown,2nd century AD,Epigraphic Evidence,Yes,None,Yes,Sivswamis Putras Grame Pramai (Sivswami's son of village Pramai),1.14 mtr in length and 0.25 mtr in width; in two lines- first line having 13 words and second line having 3 words; Brahmi script,Medieval Temple,Unknown,"Multiple cave complex, Brahmanical (Unknwon sect)",None,,,,,,,,,,,,,,,,
KGD02,Kunghada Temple near Rock Cut Cave,Temple,"Nearby these caves, a small temple with lots of Medieval sculptures is located. Inside this temple some sculptures were seen.",Unidentified,Unknown,Medieval,Sculptures,Yes,None,No,NA,NA,Rock cut caves,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
KHD01,Kurhad,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KLD01,Kelod,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KLP01,Kelapur,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KMB01,Korambhi Caves A (Dongar Mahadev ),Cave,"locally known as Dongar Mahadev, is well connected with Pauni by an ancient track. This is a single rock cut cave which is modified recently.This is a two chambered cave with a small enterance enough for one person to enter. The anterior chamber is 190(l) x 250(b) x 170(h); the posterior chamber is 165(l) x 250(b) and 170(h). A few scuptures carved on a platform are visible inside the posterior chamber. Except for Nandi and a modern shiva statue the remaining scuptures are unidentifiable due to thick vermillion on them.",Unidentified,Unknown,1st century AD,Architectural style,Yes,Nandi and other carved sculpture of Later period.,No,NA,NA,Nandi and other sculptures outside the cave,Unknown,"Single cave, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
KMB02,Korambhi Caves B ,Cave,"It is a two chambered cave which is caved in a ""T"" shape fashion. The enterance is small and the anterior chamber (towards enerance) is 1.90m high, 4.20m long and  2.15m wide; the posterior chamber is 1.90m high, 2.85m wide and 4.90m wide. At the juncution of these two chambers one pillar (square in cross section) is present. Except for the shiv linga no image or scupture is present inside the cave. ",Unidentified,Unknown,1st century AD,Architectural style,Yes,Nandi,No,NA,NA,Nandi lying outside the cave,Unknown,"Single cave, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
KMB03,Korambhi Caves C,Cave,"It is a single chambered cave with a narrow entrence. It is 5.10m long, 3m wide and height of this cave is 1.90m. Inside this cave a small modern statue of shiva is placed on a platform.",Unidentified,Unknown,1st century AD,Architectural style,Yes,Nandi,No,NA,NA,Nandi lying outside the cave,Unknown,"Single cave, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
KMB04,Korambi (Pingleshwari Mata Temple),Temple,The temple was originally in Hemadpanthi style but today it is renovated. The temple has square Garbhagriha but no Antaral.,Brahmanical (Shakti),Pingleshwari,Early Medieval,Architectural style,Unknown,NA,Yes,Unknown,There is mention of inscription on the wall of Sabhamandapa but because of renovation nothing can be visible.,Unknown,Unknown,"Single temple, Brahmanical (Devi)",None,,,,,,,,,,,,,,,,
KND01,Kandal,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KNR01,Kalamner,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KTE02,Kate,Temple,Plinth of a temple measured 7 mt. and extend with 7-8 coarses of bricks is exposed in the bank. ,Unidentified,Unknown,Vakataka,Unrecorded,Unknown,NA,No,NA,NA,Unknown,"Pottery, beads","Single temple, Undetermined",None,,,,,,,,,,,,,,,,
KTL02,Kothali,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KTN01,Kothulana,Temple,Hemadpanthi style,Unidentified,Unknown,Early Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
KTS01,Kutasa,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
KWD03,Kharwad,Temple,Hemadpanthi style,Brahmanical (Shaivite),Shiva,12th-13th century AD,Architectural style,Unknown,NA,No,NA,NA,None,None,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
LAK01,Lakh,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
LDG01,Lohadongri,Temple,"Stone built temple, exhibiting Maratha influence in design and decoration",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
LHR03,Lohara,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
LKD01,Larkhed (Ladkhed),Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
LNR02,Lonar,Temple,Unknown,Unidentified,Daityasudan,Unknown,NA,Yes,Standing surya image,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
LSR01,Lasur,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MAD01,Mad,Temple,Unknown,Unidentified,Davneshwar,Early Medieval,Unrecorded,Yes,Surya image on single wheel chariot,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MCR01,Mulchera,Temple,"Temple remains- oblong on plan, measured 6-40 m at its longer axis in NS direction and 2-60 m in the EW direction. Approach to the main structure was from the east.",Unidentified,Unknown,Late Satavahana period,Associated Archaeology,No,NA,No,NA,NA,"The overall thickness of the Brick wall was 65 cm with murum mixed with lateritic soil. Structure stands on well rammed (stone, rubble-pebbles and chips)  foundation. Cyclopean wall around the structure for protection motive. ","Black and red ware sherds; a hexagonal crystal bead; Stamped red ware, plain red ware and black ware, iron nails, roof tiles, a coin bearing letters in Brahmi characters and copper objects used in worship ","Single temple, Undetermined","In season I, thought to be stupa but in Season II after exposing more structure was thought to be temple.",,,,,,,,,,,,,,,,
MDG01,Madgi,Temple,Narsimha temple with the sculpture of Narsimha and Laxmi. The temple lost its character because of renovation. But the Garbhagriha is preserved in original hemadpanthi chaeracter.,Brahmanical (Vaishnava),Narsimha,Early Medieval,Architectural style,Yes,Sculpture of Narsimha and Lakshmi,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
MHD02,Mahadula,Temple,"Temple and water tank, possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MHP01,Mhaispur,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MHS01,Mhasale,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MKD01,Markanda (Markandeshwar or Markanda Rishi Temple ),Temple ,"""This is the principal temple of the entire group, and stands a little towards the north in the complex."".....""The temple faces the east and has two additional entrances, one to the north and the other to the south in the form of lateral mandapas whose plinths have remained. As such, the temple seems to have three projections, all the three forming mandaas or columned porches giving access from the east, north and south, to the sabhamandapa of the temple. taking into consideration these lateral projections, the temple appears to be cruciform on plan.  The mandapa of which only the plinths and inner doorways are now visible, gave access to the sabhamandapa the shikhara of which is completely lost, capped as it is now with flat roof with an iron grill admittng light in the interior. Right in the centre of the mandapa is a square ranga shila with a flight of steps at the centre of each side."".....""The sikhar of the Sabhamandapa appears to have been executed originally with concentric diminishing rings, from the centre of the topmost ring of which possibly hung a pendent. The Sabhamandapa gives access to the antaral which is rougly rectangular with indented corners."".....""A flight of steps leads one down in the cella whose ground level is lower than that of the antarala and the sabhamandapa. The sanctum is also practically of the same plan as that of antarala, but less horizontally elongated, i.e. more squarish. It contains the Shiva-Linga, now termed Markandeshwar."".....""The eastern face of the shikhara of the Markanda Devatemple is embellished by shukhanasa....."" (Deo 1973: 6-8)",Brahmanical (Shaivite),Markandeshwar or Markanda Rishi ,10th-11th century AD (Chalukya),Architectural style,Yes,"Narration  of Marichvadh, Sitaharan, and other Ramamayana depiction; also scenes from Mahabharat are depicted on the Southern ardhamandapa. Images of Surya, Brahma, Lakshmi Saraswati are depisted in Antaral. On the Janga part there are depiction of Brahma-Saraswati, Vishnu-Lakshmi, Shiv-Parvati, also there are images of natesh, kartikeya, nrutyaganesh haygriva, harihar and surya with their consorts.Interesting of these depiction is Degna Vrushika apasara beneath the Mango tree.",No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD02,Markanda (Yamdharma Temple ),Temple,"""This temple is close to the north of Markanda Risi Temple, is a small and modest construction""……""The temple is rectangular on plan with cardinally moulded projections, one each to te east, north and south. The cella , which is squarish, has its level lower than that of the small antarala in front.""......""The exterior of the temple is severely plain. The shikhara is achieved by piling up horizontal bands one above the other and receding vertically to be capped ultimately by the kalash.""......""The portico is covered by the shukhansa on the western facade and is embellished by floral panels at the base and friezes of intrcate tracery, the piles of which gradually taper upward, finally capped by the ttriparna motiff."" (Deo 1973: 10-11)",Brahmanical (Shaivite),Yamadharma,10th-11th century AD (Chalukya),Architectural style,Yes,"Sculptures of Ganesha, , shiva- Bhairava, Hari- Hara, Shiv-n ParvatiAndhakasurvadhmurthi, Surya and Chamunda.",No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD03,Markanda (Mrikunda Rishi Temple ),Temple ,"""This is the second largest temple of the group and is situated to the north- west of the markhanda Rishi Temple. The Temple faces the east.""…..""This shrine is dedicated to Mrikunda Rishi who is, as mentioned earlier, supposed to be the father of Markandeya whose name the main temple bears. Even though dedicated to Mrikunda, the temple contains a Shiva- Linga.""The temple has three parts, the cella or Garbhagriha, ante-chamber or antarala and a hall or Sabhamandapa with a square ranga- Shila. The cella is square in shape."" (Deo 1973: 11-12)",Brahmanical (Shaivite),Mrikunda,10th-11th century AD (Chalukya),Architectural style,Yes,"Camunda, Surya, Gajasurvadhmurthi, Shiva- Parvati, Ganesh, Vishnu, Venugopal, Brahma, Bhairav, Saraswati.",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD04,Markanda (Mrityunjaya Temple ),Temple ,"Temple is ""facing east and contain a Shiva- Linga. Though bigger in proportion, its plan resembles that of Vithal- Rukmini Temple. The plan show two components, Viz., the cella and the antarala or open corrider. The Shikhara has been extensively renovated and hence it is not possible to know its orginal nature. It would not be illogical to hold, however, that the shikhar could have been like the one over the Yamadharma temple. The entrance to the corridor or antarala is embellished by tripple Shakhas depicting human figures and circular panels with bird and human figures. The lintel has in the central panel the figure of a devi. The cell is also completely renovated"" (Deo 1973: 13).",Brahmanical (Shaivite),Mrityunjaya,10th-11th century AD (Chalukya),Architectural style,Yes,"""Cella contains an image of shiva- Parvati in the niche of the back- wall facing the entrance. The doorframe of the cella has seated Ganesha panel in the lintel. A pendant lotus decorates the ceiling of the corrider. The niches of the corridor contain crude images of Vishnu and Ganesha which appears to be late and deposited there in later times"" (Deo 1973: 13).",No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD05,Markanda (Uma- Shankara Temple ),Temple,"The temple is located south of Mrikunda Rishi Temple. ""It is similar in plan to the Vitthala- Rukmini (or Rakhumai) Temple. No feature of the temple deserves special notice. The walls of the cella have niches on the exterior."" (Deo 1973: 13) ",Brahmanical (Shaivite),Uma- Shankar,10th-11th century AD (Chalukya),Architectural style,Yes,"""The one on the north facades contains the figure of Camunda; that on west, has the figure of surya and the southern wall-face niche contains the Andakasuravadhamurti of Shiva"" (Deo 1973: 13). ""The noteworthy is the image of five hooded Naagkanya"" (Deglurkar 2006: 29).",No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD06,Markanda (Vithala- Rukmini Temple ),Temple,"""This is a small shrine facing east and situated close to the north- east of Mrikunda Risi temple . The plan of the temple has no distinctive feature; it may be taken to be a  dimunitive Yamadharma temple plan. The shikhara over the cella and that on the antarala are after the same fashion as noted in the case  of Yamdharma"".....""This temple has also niches centrally on the exterior of the wall or the Janga of the cella"" (Deo 1973: 12-13). ",Brahmanical (Vaishnava),Vithal- Rukmini,10th-11th century AD (Chalukya),Architectural style,Yes,"""The southern facade contains the icon of dancing Ganesha, the western one that of Surya and the northern one has dancing Bhairava. Though named as the temple of Vitthala- Rukhumai, the cella contains a very late and crude icon of Surya. The door frame of the cella bears the image of Ganesha on the lintel, and the Shakhas and other features are similar to those on the doorframe of the Yamadharma Temple.""",No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
MKD07,Markanda (Vishveshvara Temple ),Temple,"""The temple is situated close to the southern enclosure wall which is pierced by a gateway leading to the stepped ghat. Though much simpler in conception, it resembles on plan the Mrikunda rishi temple with the components comprising a cella, antarala or vestibule and a mandapa. The doorframe of the cella is similar to that of Yamadharma, but the execution is cruder. The cella enshrines a Shiva-linga, whereas the niche in the back wall of the same contains a crude figure of a devi. The Sabhamandhapa is completely renovated. There is no ranga-shila and the pillars are severely plains with square abacus and rolled brackets with inverted nagasirsha. The square base of these pillars contains panel depicting Shiva and  Bhairava. The Shikhar is completely ruined"" (Deo 1973: 15).",Brahmanical (Shaivite),Vishveshwar,10th-11th century AD (Chalukya),Architectural style,Yes,Shiva and Bhairav images on the pillars,No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD08,Markanda (Bhimeshvara Temple ),Temple,"""Though of considerable proportions and square on plan, the temple has no architectural features worth note. The doorframe of the cella is similar to that in the Yamadharma. The cella contains a Shiva-linga and the Shikhar is pyramidal and renovated"" (Deo 1973: 15).",Brahmanical (Shaivite),Bhimeshwar,10th-11th century AD (Chalukya),Architectural style,Yes,None,No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD09,Markanda (Vireshwar Temple ),Temple,"""This lies close to the south of Bhimeshwar temple and is a small square shrine with pyramidal roog. The doorframe of the cella is similar in decoration to that of Yamadharma. Shiva- Linga is enshrined inside"" (Deo 1973: 15).",Brahmanical (Shaivite),Vireshwar,10th-11th century AD (Chalukya),Architectural style,Yes,None,No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD10,Markanda (Shakti Devi Temple ),Temple,"""This is a very small structure which does n ot require special notice. The temple, built of the remains of other structures, faces the east with an open platform to its north. The latter is now used for depositing fragmentary sculptures, whereas the temple proper has a stumpy pyramidal Shikhara built of chunam and contains an image of Mahishasurmardhini"" (Deo 1973: 14).",Brahmanical (Shakti),Shakti Devi,10th-11th century AD (Chalukya),Architectural style,Yes,Image of Mahishasurmardhini,No,NA,NA,Temples,Unknown,"Single temple, Brahmanical (Devi)",None,,,,,,,,,,,,,,,,
MKD11,Markanda (Temple no.11 ),Temple ,"""Square structures with a conical sikhara executed entirely in lime and fragments of other temple parts"". It does not contain any image originally belonging to the temple.",Unidentified,Hanuman,10th-11th century AD (Chalukya),Architectural style,No,NA,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MKD12,Markanda (Temple no.12 ),Temple ,"""Square structures with a conical sikhara executed entirely in lime and fragments of other temple parts"". It does not contain any image originally belonging to the temple.",Unidentified,Unknown,10th-11th century AD (Chalukya),Architectural style,Yes,None,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MKD13,Markanda (Temple no.13 ),Temple ,"""Square structures with a conical sikhara executed entirely in lime and fragments of other temple parts"". It does not contain any image originally belonging to the temple.",Unidentified,Unknown,10th-11th century AD (Chalukya),Architectural style,Yes,None,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MKD14,Markanda (Ganesh ),Temple ,"""This is a small structure comprising a small cella and a mandapa. The temple is completely renovated and bears no architectural or sculptural distinction. The Shikhar is pyramidal in two tiers. The cella contains an image of four- armed Ganesha.""",Brahmanical (Shaivite),Ganesh,10th-11th century AD (Chalukya),Architectural style,Yes,Four armed Ganesh,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MKD15,Markanda (Ganesh ),Temple ,"""This is placed against the western wall of the enclosure which seals off the western border of the entire temple complex. It is nothing short of an open cloister measuring 75' in length and 7' wide. The back wall is compartmented into 12 shallow rectangular niches by means of pillasters. Every niche has a pedestal meant to support the sculpture placed above. The front portion is closed by means of a half wall over which massive half pillars with square base, partly fluted shaft and roll capital, stand to support the squarish bracket holding the horizontal beam of the archetrave above. Every compartment of the cloister is crowned by a pyramidal shikhar capped by an amalaka. These are reminiscent of the Chausath Yogini temple at Khajuraho. The temple is negotiated by means of two entrances, one each at the southern and northern ends. The nomenclature of the temple implies that icons of the ten incarnations of Vishnu were intended to be accomodated in the temple, one each in the ten compartments. However there are twelve compartments.""",Brahmanical (Vaishnava),Unknown,10th-11th century AD (Chalukya),Architectural style,Yes,"Buddha, Krishna, Parshuram, Rama, Narsimha, Bhuvaraha, Kurma, Ganesh, Nagna- Bhairav, Mahishasurmardhini and few secular sculptures depicting dometic scenes.",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
MKG01,Manikgad (Vishnu Temple),Temple ,Temple is in Hemadpanthi style and consist of Garbhagriha and Mahamandapa and is facing east. The pillars are ornated with images. Even the outer wall of the temple is rich in Sculptures and other decorative motiffs.,Brahmanical (Vaishnava),Vishnu,11th-12th century AD (Parmara),Architectural style,Yes,"Images of Mahishasur mardhini, Ganesh, Surya, Shiv Murlidhar Sadhu, Dholkivadhak, Vinavadhak, Apasara on the pillars. And on the outer walls of the mandapa and ardhamandapa theere are sculpture os Apsara, Mrugvadhak, Vinavadhak, nrutyagana, Godeswar and Gaj.",No,NA,NA,Fort,Unknown,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
MKP01,Mukanapur,Temple,"Group of three temples, possibly dating to the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Multiple temple complex, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MKR01,Mehekar,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
