SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,Notes,,,,,,,,,,
MNS07,Mansar,Sculpture (single),Naga burial shaft,Vakataka,Iconography,yes,"""Near the bottom, making a lower chamber 15” [38 cm] deep, was a false floor of brick. In the upper part of the shaft was filled
earth from which was recovered a small snake image of greenish soapstone and some pottery. Beneath the false floor was a large spherical pot, 1 ft [30 cm] in diameter containing ashes; with it also were several small pots.’ (Wellsted 1934, 164)",,,,,,,,,,
MNS08,Mansar,Sculpture (single),The image is 84 cm high and carved from red sandstone. Many scholars have different opinion regarding its identification.,Vakataka,Iconography,No,none,,,,,,,,,,
MNS09,Mansar,Sculpture (single),"The sculpture of Mansar Man made of fine clay. A ""Construction Sacrifice"" was found below this temple complex.",Vakataka,Associated Archaeology,Yes,None,,,,,,,,,,
MNS22,Mansar-Moil,Sculpture (single),Isolated fragmentary stone sculpture (linga). Displaced from original context. Find spot unknown,Unknown,NA,No,,,,,,,,,,,
MRG02,Meeregaon,Inscription (copperplate),"The set of five copper plates were found when a field was being dug near the village of Miregaon. The inscription records the donation of the village Jalapura-vataka to support a group of Brahmanas by Prabhavati Gupta in the 20th year of her son, Pravarasena II reign.

The contents of the plates are the same as the ?iddhapur plates except for the details of donations. The plate was drafted by a minister named Chandra. (Shastri, pp. 91-93)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
MRG03,Meeregaon (Sculpture),Sculpture (single),Ekmuki Shivlinga with brahmasutra,Vakataka?,Iconography,No,This sculpture was found while digging the foundations for the construction of  a new house by Mr. Ravindra Shavan Sathavanein 2008,,,,,,,,,,
MSD01,Masod,Inscription (copperplate),"This charter, issued in the 19th year of Pravarasena II reign, records the donation of a piece of land in the north west of Matsakadraha village in honour of 19 Br?hma?as who are named in the inscription.<BR>The set of five plates were discovered in a field at M?sod whilst it was being ploughed in the 1950's (?).<BR>The location of the village is not certain although Geolysis records the village as being located here (http://www.geolysis.com/plgmap.php?p=536010082&k=233344664) - assuming that the village marker overlay had slipped upwards (typically the case).<BR>Another website (http://www.onefivenine.com/india/villages/Nagpur/Katol/Masod), also lists this as M?sod village and fits with the description of the village being 'under the Mauja Kamathi and Kondhali Police stations in the Katol taluka of the Nagpur District' as cited by Shastri (p. 90).<BR>The plates are now part of the collection of the Central Museum, Nagpur.", issued in the 19th year of Pravarasena II reign,Epigraphic evidence,No,This copper plate was discovered during ploughing a field near the Ramgarh Cave.,,,,,,,,,,
MSL02,Masal,Sculpture (multiple),3 sculptures of Jain Thirthankar.,Unknown,NA,No,Found while digging the land.,,,,,,,,,,
MZR02,Mahurzari,Seal stamp,Made up of Carnelian with Sanskrit legend Apramada (signifies careful or watchfulness). The inscribed face which is nicely polished measures 17 x 10 mm. it has tapering sides and weighs 24 grains. The characters are box headed. The letter m is angular as in the legends of Gupta coins and Deotek stone inscription of Rudrasena I.,4th century AD,Epigraphic evidence,No,"The legend is probably a Buddhist motto. It is noteworthy that at the Buddhist site of Kushinagara (modern Kasia) in the Gorakhpur district, several clay seals with the legend ""apramada"", dating between AD 700 and AD 1000 were discovered.",,,,,,,,,,
MZR03,Mahurzari,Inscription (copperplate),"This set of 5 copper plates dating to the reign of Prithivisena II, were discovered in June 1971 in a field during ploughing. The field was owned by Shri Borkar who at that time, lived in the village. The village, according to V. B. Kolte (p. 183) is an ancient site with many archaeological remains dating to the Vakataka period. There are also stone circles which date as far back as 3000 years suggesting continued habitation throughout this period.

This is one of the only known copper plate charters of Prithivisena II which is complete. The charter was issued in the kings 17th year of rule and records the grant of the village Jamalakhetaka to the Brahmanas Vishnudatta and Bhavadatta, residents of  Prithivupura , where the charter was issued from. (Shastri, p. 103)

This copper plate charter is now house in the Central Museum, Nagpur.

(Kolte, V. B., 'Mahurzari Plates of Prithivisena II', Annals of the Bhandarkar Oriental Research Institute, vol. LIII, 1972, pp. 183 - 198)

Location of the village according to Wikimapia. (http://wikimapia.org/#lat=21.2257221&lon=79.0068699&z=17&l=0&m=b&search=mahurzari)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
NGD03,Nagardhan,Sculpture (single),"""It is a two armed seated figure, whose right forearm is brioken, and holds a book in his left hand. The lower garment partly covers his thighs. The waist is slender, the figure wears a necklace, the hairstyle is similar to that of images found at Mandhal.. The figure is seated in a paryanka pose, the legs are not crossed and one foot  is placed on the other thigh."" ",5th century AD,Iconography,No,None,,,,,,,,,,
NGD04,Nagardhan,Sculpture (single),"""The head has been identified as that of Vishnu on account Kiritamukuta."" ",First half of 5th Century AD.,Iconography,No,None,,,,,,,,,,
NGD06,Nagardhan,Sculpture (single),"""Broken image of Mahisasurmardini. The image shows Goddess with the lowetr garment stretches around her right lifted leg, flares out berhind  the Kneeling buffalo till behind her left ankle and is wrapped around her hips in folds that cross each other in the front. Nupuras embellish her ankles. The two long strings of pearls rests on her belly. On the head of the buffalo there is a amalaka like decoration.""",5th century AD,Iconography,No,The image may have adorned the temple in Nagardhan to which also the Vishnu and Ganesha belong.,,,,,,,,,,
NGD07,Nagardhan,Sculpture (single),"""The image has a doubled petelled lotus in place of her head, flanked by two icons, which are very much damaged. The goddess wears graiveyaka, channavira, mekhala, and nupuras.On both sides of her shins, what could be interpretted as two human faces adorned by necklaces, are visible.""",5th century AD,Iconography,No,None,,,,,,,,,,
NGD08,Nagardhan,Sculpture (single),"""The two delightful sculptures are part of a construction."" ",5th century AD,Iconography,No,None,,,,,,,,,,
NGD09,Nagardhan,Sculpture (single),"""It seems that it is miniature copy of Narsimha image found at Ramagiri.""",5th century AD,Iconography,No,None,,,,,,,,,,
NGD10,Nagardhan,Sculpture (single),"""It’s a tablet of yellow sandstone on which a pair of footprints are engraved in bas relief.""",5th century AD,Iconography,No,None,,,,,,,,,,
NGD11,Nagardhan,Sculpture (single),"Displaced sculptural fragments, including: Siv linga and remains of female figure in red sandstone",Vakataka,Iconography,No,None,,,,,,,,,,
NGD13,Nagardhan,Sculpture (single),Stone image of miniature Gana and Narsimha,Vakataka,Iconography,No,Broken ,,,,,,,,,,
NGD21,Nagardhan ,Bricks,Ancient bricks used in the construction of modern house,Early Historic,Typology,No,None,,,,,,,,,,
NGD24,Nagardhan,Sculpture (single),"Isolated fragmentary stone sculpture (linga), with square shaft. Currently preserved in modern village (set into ground surface). Displaced from original context. Find spot unknown",Vakataka,Stylistic,No,,,,,,,,,,,
NGD34,Nagardhan ,Sculpture (single),Large isolated fragmentary stone sculpture (linga). Currently preserved in modern village (set into ground surface). Displaced from original context. Find spot unknown,Vakataka,Stylistic,No,,,,,,,,,,,
NGD39,Nagardhan,Inscription (copperplate),This copper plate (Sanskrit language and in box headed script) is issued by the brother of king Swamiraj (Possibly initial Rashtrakutta king) named Nannraj from Nandivardhan and is inscribed by Durgaditya. It records two donations: 1) 12 villages in Chinchpattika. 2) Ankollika village near Chatukvat.,573 AD,Epigraphic evidence,No,None,,,,,,,,,,
NGM02,Nagpur Museum,Inscription (copperplate),Inscription is in Sanskrit language and records the donation of village Satallama (in Kashloda) by king Mahabhavgupta to Bhatt Santhkar (son of Dhrutikar) of Audhradesh (Present Odisha).,8th regnal year of Mahabhav Gupta,Epigraphic evidence,No,None,,,,,,,,,,
NGM03,Nagpur Museum,Inscription (stone),Inscription is in Sanskrit language and in Nagri Script of 12th century. It records the donation of 2 villages from Vyapurmandhal and Village Mokhalpatak by Lakshmandev and Narvarmdev (of Parmara family).,1104-1105 AD,Epigraphic evidence,No,None,,,,,,,,,,
NGP02,Nagpur,Seal stamp,"1 seal made up of sandstone with the Prakrit legend ""Brahmutta"" (in sanskrit Brahmagupta). The inscribed face  measures 20 x 15mm",2nd-3rd century AD,Epigraphic evidence,No,None,,,,,,,,,,
NGV05,Nandgav,Inscription (stone),This inscription was inscribed during the reign of (Yadava) king kanhirdev and mentions the account of donation of Gadyan (currency) by Locals.,1254-55 AD,Epigraphic evidence,No,None,,,,,,,,,,
NPR01,Nandapuri,Sculpture (multiple),Fragmentary stone sculptures,Early Medieval,Iconography,No,It is not clear which of the sculptures reported in the original IAR volume (see refs) were found at Nandapuri and which were found at Hamlapuri.  More recent surveys of the village did not reveal any Vakataka sculptures in the village. The oldest displaced remains in the village in 2010 dated to the early medieval period.,,,,,,,,,,
NPR03,Nandpur,Seal stamp,"2 seal stamp made up of carnelian each measuring 11 x 8 mm, inscribed in box headed characters. legend on one was read as Rudradeva and on the other as Bhavadeva.",Vakataka ,Epigraphic evidence,No,According to Mirashi these seal stamp probably belongs to private individuals,,,,,,,,,,
NPR04,Nandpuri,Sculpture (single),"Fragmentary stone sculpture, preserved in modern temple structure",Early Medieval,Stylistic,No,,,,,,,,,,,
NRI01,Neri,Sculpture (single),Sculpture of Parvathi,1 st Century A.D,NA,No,None,,,,,,,,,,
PBP02,Prabhat Pattan (Shiv),Sculpture (multiple),Sculptures of a horse and a lady. At this pace a part of some Medieval sculpture that contains a horse and a female. It has been installed on a small mound. Local legend says that this is the image of a women and a horse that turned into stone. This area does not have any sort of habitation deposit.,Medieval,Iconography,No,Prabhat Pattan also known as Pattan is a large village which is divided into two by a water tank of ancient period (the area to the north which is known for its sati temple of Maratha period and the one which is located in the SE have a Medieval Mosque). The whole area is undulating and is covered by soil having murrum and patches of fertile black cotton soil. A few seasonal Rivulets that ultimately joins river Wardha which flows a few km east of Pattan. The area in and around Pattan is traversed by these seasonal streams. ,,,,,,,,,,
PBP05,Prabhat Pattan,Inscription (copperplate),"The five copper plates which make up this charter were found in a field during ploughing in the village of Pattan in 1935.

The charter was issued by Pravarasena II in the 27th year of his reign and is, according to Shastri (p.31), a unique charter in the Vakataka examples because it provides for a free feeding house, attached to a temple as opposed to an individual donation of a land grant. The donation was made at the request of Narayanaraja.",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
PGR01,Pagora,Sculpture (single),Unknown,Unknown,NA,No,None,,,,,,,,,,
PHR03,Pahur ,Sculpture (single),Vishnu Image,13th-14th century AD,Iconography,No,None,,,,,,,,,,
PJR01,Pinjar,Inscription (stone),"Inscription is unreadible however last words are read as ""Kirtiprashasti"" in Sanskrit language and the script belonging to 12th-13th century AD.",12th-13th Century AD,Epigraphic evidence,No,None,,,,,,,,,,
PKD02,Pachkhedi ,Sculpture (single),Sati memorial above the mound,Medieval,Iconography,No,None,,,,,,,,,,
PLR01,Pullar,Inscription (pillar),"Brahmi inscription engraved on stone pillar containing 4 words i.e ""vandalasa""",1st century BC,Epigraphic evidence,No,None,,,,,,,,,,
PLR04,Pullar,Inscription (stone),"Inscription is in Prakrit language and Brahmi characters and read as ""Vasvadlak Putasa, a(cha or va) las Mathikamam""",2nd century AD,Epigraphic evidence,No,None,,,,,,,,,,
PLR05,Pullar,Inscription (stone),"Inscription is in Prakrit language and Brahmi characters and only word readible is ""Okiyas""",2nd century AD,Epigraphic evidence,No,None,,,,,,,,,,
PNE01,Pune,Inscription (copperplate),This copper plate inscription (Language- Sanskrit; Script- Nail headed character) was issued by Prabhavati Gupta. It records the donation of village Dagun to Acharya Chanalswami by prabhavati Gupta. This charter was issued from Nandivardhan.,Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
PNI01,Pauni,Inscription (stone),In Brahmi characters and in Prakrit language of 2nd century AD. Engraved on a stone slab and records the erection of a memorial-stone (chhaya-khambha) for Mahakhattava-kumara Rupiamma.,2nd century A.D (Western Kshatrapa),Epigraphic evidence,No,"1) This is the earliest instance of the use of the word ""Kambho"". 2) This pillar was erected on the bank of the river Wainganga 3) Now deposited in the Central Museum, Nagpur.",,,,,,,,,,
PNI02,Pauni,Inscription (pillar),"Record the gifts made (i) by one Naga, a scholar in the five Nikayas,
(ii) by the monk Utaraka, and (iii) and (iv) by an Upasika named Visamita; these
evidently refer to the gift of the pillars on which they are engraved.",2nd century BC,Epigraphic evidence,No,None,,,,,,,,,,
PNI12,Pauni,Inscription (stone),This insciption is in Prakrit language and Brahmi characters and mentions the donation given by a woman named Vismita.,3rd-2nd Century B.C.,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI13,Pauni,Inscription (stone),This insciprtion is in Prakrit language and Brahmi characters and mentions the donation given by a woman named Vismita for the happines of all.,3rd-2nd Century B.C.,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI14,Pauni,Inscription (stone),This inscription mentions the donation by Pusgut (Pushpagupta). The inscription is in Prakrit language and Brahmi characters.,1st century BC,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI15,Pauni,Inscription (stone),"This inscription is in Brahmi characters and Prakrit Language. The inscription is in bad condition to read. Only visible words are ""Samikay Him"".",1st century BC,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI16,Pauni,Inscription (stone),This inscription mentions donation by the monk Utarak. The inscription is in Prakrit language and in Brahmi characters.,Shunga,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI17,Pauni,Inscription (stone),Inscription mentions donation by Budhadev and the inscription is in Prakrit Language and Brahmi characters.,Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI18,Pauni,Inscription (stone),Inscription mentions donation by monk Utargut (Utargupta) and the inscription is in Prakrit Language and Brahmi characters.,Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI19,Pauni,Inscription (stone),"Inscription is Prakrit language and brahmi characters and is donated by Naag, follower of Panchnikay sect.",Shunga,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI20,Pauni,Inscription (stone),"The incription is read as "" Mahayasa Anthevasiniy…..valiy (?) Danam"". The inscription is in Brahmi characters and Prakrit language.",Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI21,Pauni,Inscription (stone),"The inscription is in Brahmi characters and Prakrit language and is read as ""Muchrido Nago"".",Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI22,Pauni,Inscription (stone),"Inscription is in Brahmi characters and Prakrit language. Only some words of the inscription is readible which is "" Day Budha""",Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI23,Pauni,Inscription (stone),The inscription mentions the donation by monk Yakhdin (Yakshadatta). (Language- Prakrit; Script- Brahmi),1st century BC-1st century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI24,Pauni,Inscription (stone),Language- Prakrit; Scipt- Brahmi. Inscription mention the donation by a Bhikuni Only few words are readible which is Usmita (Usbhamita).,1st century BC-1st century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI25,Pauni,Inscription (stone),Inscription mentions the name of Bhikuni Haliya in Prakrit language and Brahmi script.,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI26,Pauni,Inscription (stone),Inscription mentions the name Budharakhit (Budhrakshit) in Prakrit language and Brahmi script.,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI27,Pauni,Inscription (stone),Script- Brahmi; Language- Prakrit,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI28,Pauni,Inscription (stone),Script- Brahmi; Language- Prakrit,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI29,Pauni,Inscription (stone),"Inscription is read as ""Matiy Pasad"". Possibly Matiy is the donator. The language of the inscription is Prakrit and script is Brahmi.",1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI30,Pauni,Inscription (stone),The insciption mentions donation by the woman named Satika. The language of the insrciption is Prakrit and script is Brahmi.,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI31,Pauni,Inscription (stone),Insription mentions the donation given by the bhikhuni named as Goh in Prakrit language and Brahmi script,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI32,Pauni,Inscription (stone),"Inscription is damaged only last word is readible which is ""Thik"". According to Deo 1984: 262, the Thik is last words of a persons name. Inscription is Prakrit language and Brahmi script.",1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI33,Pauni,Inscription (stone),This inscription is incomplete. However the name Kan (Krishna) is readible probably it is the name of Doner.,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI34,Pauni,Inscription (stone),"Inscription is in Brahmi characters and Prakrit language. It mantions the name ""Agidev (Agnidev)"".",1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI35,Pauni,Inscription (stone),The inscription is completely damaged.,1st century BC- 2nd century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI36,Pauni,Inscription (stone),"Inscription is damaged but the word ""Vaniy"" is readible. Language- Prakrit; Script-Brahmi.",Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI37,Pauni,Inscription (stone),"Inscription mentions the donation by Valnak, son of Grihapati Nandan.",Unknown,Epigraphic evidence,Yes,None,,,,,,,,,,
PNI38,Pauni copper plate of Pravarasena II,Inscription (copperplate),"The set of four copper plates was discovered by Shri Ramchandra Narayan Wakadiker whilst digging in the ramparts of Pauni. (Kolte, V. B., 'Pauni plates of Pravarasena II', Epigraphia Indica, vol XXXVIII, part II, April 1969, pp. 53-57).

The charter was issued from Pravarapura and records the donation of land measuring 50 nivarttanas by royal measure to Duggaryya, a student of the Rigveda and part of the Aupamanyava gotra. According to the inscription the land is located in the 'holy place of Achalapuka' and was given in exchange for another plot of land. The grant was issued in the 32nd year of Pravarasena II's reign and provides the last date for the rule of Pravarasena II - showing that he ruled at least 32 years. (Kolte, 1969, p. 54).",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
PNI39,Pauni,Inscription (stone),This inscription is in Brahmi characters and Prakrit Language. It records the donation made by Bhagdatta.,1st century AD,Epigraphic evidence,No,None,,,,,,,,,,
PNR05,Paunar,Seal impression,"Made up of baked clay and reddish in colour; oval in shape; measuring 9 1/2x 7 cms.; inscription read as ""Nama Purushotama""",2nd century AD,Numismatics,No,None,,,,,,,,,,
PNR06,Paunar,Clay bulla,"1.51 gm, 23 x 17 mm. Obverse- A Roman bust to right wearing didream, all surrounding by a border of dots. The object has a loop inbuilt to pass a thread for using as an ornament. Reverse- Blank",Early Historic,Not specified,No,In the private collection,,,,,,,,,,
PNR07,Paunar,Copper amulet,"Made by repousee technique and it bears two holes at the desired place above the head of the ruler. 2.32 gm, 22 mm. Obv: A Roman bust similar to that of Emperor Augustus to right, uncertain legend around. The object has two holes at 11 oclock to pass a thread for using as an ornament. Rev: Repousee image of the bust of the emperor to left.",Early Historic,Not specified,No,Found by Narayan Deshmukh,,,,,,,,,,
PNR14,Paunar,Inscription (stone),"This inscription is inscribed on the sculpture of Ganga in Brahmi script of 6th century CE and is in Sanskrit language. The inscription is read as ""Ganga Bhagvati""",6th century AD ,Epigraphic evidence,No,None,,,,,,,,,,
PNR15,Paunar,Inscription (stone),Language- Sanskrit; Script- Devnagri.,Unknown,NA,No,None,,,,,,,,,,
PNR16,Paunar,Sculpture (single),"""Bust fragment of a female figure with a
halo (prabhavali) at the back indicative of
its divine qualities; it is shown wearing a
jatiimukuta and with the tresses falling over the nape and the shoulders in long
spirals. Of the other details, only the
elongated ear-lobes (pralambakanJa-piisa)
can be distinctly made out. The image is much
defaced and worn out.It is carved in red
sandstone of inferior quality which accounts
for its present state of preservation.""",6th-7th century AD,Iconography,No,"Onstylistic grounds, the figure, which may have probably once belonged to a group of saptamiitrikas, can be ascribed to c. 6th-7th Cent. A. D., as it bears a striking resemblance to the devotees sculptured in Cave No.7 at Aurangabad.
",,,,,,,,,,
PNR17,Paunar,Sculpture (single),"""The head, probably of a female figure,
of red sandstone; its facial features are
completely obliterated. The coiffure is
curious and interesting and resembles a
wig (churna-kuntalai. The hair is parted
in the middle and arranged in two large
parallel rolls along the parting line
on either side. The criss-cross pattern
of the hair is indicative of its being secured
in a net (jiilikii). In the left ear, which only
is intact, she wears a circular ear ornament,
probably a disc (tiuanka-chakrai. On the
basis of its stylistic peculiarities, the figure
can be assigned to circa 5th-6th Century
A. D."" ",5th-6th Century AD,Iconography,No,"similar figures in terracotta are found in large numbers in the Gupta levels in Central and Northern India.
",,,,,,,,,,
PNR18,Paunar,Sculpture (single),"""Fragment, a plaque of red sandstone carved
in bold relief and depicting mother and
child. Its portion below the breasts is
missing. The female figure is characterised
by sharp, prominent acquiline nose, bulging
eyes and protruding lips; the full round
breasts, betoken of fertility, are carved with
a small circle each to show the nipples. The child on the right is probably held in the
left hand. The coiffure is extremely stylized;
the hair is parted in the middle and is possibly
combed back into a roundish bun
(dhammilla). She also wears a necklet
(kanthi) and the necklace is seen resting in
the hollow of the nestling breasts.""",2nd-3rd Century AD,Iconography,No," It bears a family resemblance with the later Satavahana terracottas found in Maharashtra and may, therefore, be assigned to the latter
half of 2nd Cent. or the first half of 3rd Cent. A. D.",,,,,,,,,,
PNR19,Paunar,Sculpture (single),"""Fragment of a sculptured piece depicting
a standing Jina in the kiiyotsarga posture;
it is carved in low relief. It is a product
of crude workmanship and only the bare
outline of the figure is discernible. It is
apparently a late specimen assignable to
circa 7th-8th Cent. A. D.""",7th-8th Century AD,Iconography,No,None,,,,,,,,,,
PNR20,Paunar,Sculpture (single),"""Fragment of the torso of a seated figure;
it is completely worn out and no details can
be made out.""",Possibly Medieval,Unknown,No,None,,,,,,,,,,
PNR21,Paunar,Sculpture (single),"""An image of Ganesa carved of red sandstone;
it depicts the elephant-headed god seated
on a modest throne. It has two hands
of which the right one is missing; the left
hand, holding a bowl of sweets, is slightly
raised. He is shown eating the sweets in
his left hand by the trunk. His outspread
ears resemble a winnowing basket (surpa).
He wears bejewelled bracelets in his hands,
and an anklet on each leg. The dotted
pattern on the sacred thread which is seen
resting over the left shoulder and passing
below the right arm, is indicative of its
being made of pearls (muktiiyajfiopavita).
The protruding belly is secured by a
jewelled band (udarabandha); its two hands
and the restrained use of ornaments is
betoken of the early stage of development
of the iconography of the god.""",6th Century AD,Unknown,No, The specimen can be compared favourably with that sculptured on the doorway of the Siva temple of Bhumra (Dist. Panna).,,,,,,,,,,
PNR22,Paunar,Sculpture (single),Head portion of a male on sandstone.,Vakataka,Iconography,No,None,,,,,,,,,,
PNR23,Paunar,Sculpture (single),Head portion of a female on sandstone.,Vakataka,Iconography,No,None,,,,,,,,,,
PNR24,Paunar,Sculpture (single),"""This sculpture narrates Pralambasuravadha. In this Balrama is shown combatting a demon holding his neck with his right hand and pushing his body forward by pressing his knee against the back of the demon"".",Vakataka,Iconography,No,This panel was identified by Mirashi as Vali-Sugriva-yuddha,,,,,,,,,,
PNR25,Paunar,Sculpture (single),"In this panel"" Balarama is shown killing demon Denuka. This panel was wrongly interpretted as Vali-Vadha…..in this Balarama is shown standing along with Krishna and other cowherds….holding the hind legs of the demon who was in the form of the ass, with his right hand. On the top right some palm trees, one having the forepart of an ass, on its leaves, and below a person is fallen on the ground and trying to rise"".",Vakataka,Iconography,No,This scene was identified by Dhavlikar as fight between Rama and Ravana.,,,,,,,,,,
PNR26,Paunar,Sculpture (single),This panel depicts liberation of Vasudeva and Devki,Vakataka,Iconography,No,None,,,,,,,,,,
PNR27,Paunar,Sculpture (single),Balarama-Revati: This panel which was left unnoticed by scholars describes Balarama-Revati ,Vakataka,Iconography,No,Earlier C.S. Gupta identified this sculpture as Krishna and Rukmani,,,,,,,,,,
PNR28,Paunar,Sculpture (single),Nanda-Vishada,Vakataka,Iconography,No,None,,,,,,,,,,
PNR29,Paunar,Sculpture (single),Parthasarathi,Vakataka,Iconography,No,None,,,,,,,,,,
PNR30,Paunar,Sculpture (single),Ganga: A beautiful life size image of Ganga is in high relief and slightly damaged. Both the hands are lost and face is mutilated. It has a usual iconography of the river Goddess. She is shown standing on Makara and holds a pitcher in her left hand. A label inscription at the bottom gives the name of Goddess Ganga Bhagvati.,Vakataka,Iconography,No,None,,,,,,,,,,
PNR31,Paunar,Sculpture (single),"Shiv-Linga of Panchayatana type: It shows four Dikpalas viz., Indra, Yama, Varuna and Soma seated on their respective mounts on the four sides of the linga.",Vakataka,Iconography,No,This siv-linga possibly finds mention in Vakataka grants.,,,,,,,,,,
PNR32,Paunar,Sculpture (single),"Standing figure of Siva, holding a long staff in his right hand and and the left hand is resting against his thigh and a serpent is coiled in his thighs.",Vakataka,Iconography,No,None,,,,,,,,,,
PNR33,Paunar,Sculpture (single),Scupture of ascetic seated in Dhyanmudra and Padmaasana.,Unknown,Unknown,No,May be identified with Jain Tirthankaras,,,,,,,,,,
PPR01,Padmapur,Sculpture (single),"Sculpture of saraswati; 4 ft 7 inch in ht.; four handed; holding Vina in two hands and in other two hands lotus and thadpatra pothi; halo; devotees on right hand side and swan on left hand side; insccription on pedestral- 4 inch width and 2 ft 4 inch in length, Devnagri script, 11 words, read as ""- - - ra-ya-na-pu-tra-bha-tta-dra-va""",Between 9th and 12th century AD by various scholars,Epigraphic evidence,No,None,,,,,,,,,,
PSN01,Parshivni,Sculpture (single),Mahalaxmi Sculpture; 90 cm in height and 42 in width.Four handed ; lion at bottom on left side; ,11th-12th century AD,Iconography,No,None,,,,,,,,,,
PSN02,Parshivani,Seal stamp,"This agate seal-stamp (14 mm x 10 mm) was found on a hill near Parseoni (Parshivni) village, approximately 25km north of Nāgpur, in 1940. The stamp is incribed with four characters (aksharas). The legend, written in Sanskrit, reads 'Jitaṁ Bhagavatā', which translates as 'Victory has been attained by the Lord'. This phrase is sometimes found at the beginning of ancient Sanskrit records, but only occurs in one other record from Central India: the Ṛiddhapur plates of the Vākāṭaka queen Prabhāvatīguptā. However, there is no evidence that this seal-stamp was associated with this Vākāṭaka queen. The same legend has also been noted on clay seals from Vaiśālī, where it occurs together with religious symbols and the names of private individuals and trade guilds. This demonstrates that it was a common and auspicious formula.

The characters of the seal-stamp date to the 4th century CE.

(Mirashi, V.V., 'Some Seal-Stamps From the Central Provinces', Journal of the Numismatic Society of India, 3: 99-102). ",4th Century AD,Epigraphic evidence,No,None,,,,,,,,,,
RDP02,Rangdhampeta,Sculpture (single),Saptamatrika sculpture,Unknown,NA,No,None,,,,,,,,,,
RPP03,Repanpalli,Sculpture (single),"Sculptures dating to the Vakataka period, recorded as being housed inside two temples (one dedicated to Shiva, the other to Ganesha) at Repanpalli",Vakataka,Unknown,No,None,,,,,,,,,,
RSO02,Risod,Inscription (copperplate),Fragmentary copper plate,Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
RTK03,Ramtek (Laxman Temple),Inscription (stone),Inscription is in Sanskrit language and nagari characters and possibly belongs to the reign of Yadava king Singhan or Ramchandradev. It records the Provision made by a person named Ragav for the construction of Lakshman temple.,13th Century AD,Epigraphic evidence,No,None,,,,,,,,,,
RTK08,Ramtek (Ramagiri),Sculpture (single),"Find spot of Varaha sculpture. ""The sculpture of Varaha is severly murilated and only traces of Prithivi are preserved. This devine animal wears an ekavali which is not a feature of large Varaha of Ramagiri.""",5th century AD,Iconography,No,None,,,,,,,,,,
RTK16,Nr Ramtek,Architectural fragments (carved),"Fragmentary architectural fragment, currently preserved in modern shrine",Early Medieval,Stylistic,No,,,,,,,,,,,
RTK19,Ramtek,Bricks,Brick remains re-used in construction of Late Medieval tombs. Not possible to date conclusively ,Unknown,NA,No,,,,,,,,,,,
RTK22,Ramtek,Architectural fragments (carved),"Isolated stone column, preserved in modern town. Not possible to date conclusively",Unknown,NA,No,,,,,,,,,,,
RTK28,Ramtek,Architectural fragments (dressed stone),"Large dressed stone slabs, re-used to face the embankment of water tank west of modern town. Not possible to date conclusively",Unknown,NA,No,,,,,,,,,,,
RTK30,Ramtek,Sculpture (single),"Fragmentary stone sculpture, preserved in modern temple structure",Vakataka,Stylistic,No,,,,,,,,,,,
RTK31,Ramtek,Bricks,Brick remains re-used in construction of Late Medieval tombs. Not possible to date conclusively ,Unknown,NA,No,,,,,,,,,,,
