SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,ContextNotes,Number,Metal,Weight (g),Diameter (cm),ObverseDescription,ReverseDescription,Issuer,TypeNumber,ImageID,Note,Location
MGL04,Mangrul,Coin Hoard,Punch marked Coins,Early historic,"Coins similar with the Type mentioned in the BMC Catalogue (See ""Type number"" column)",No,None,221,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,BMC 2 XI-C and NS 38-A-2,"Pl. II. 28-29 (JNSI, XIX)",,174 coins were recovered. These coins are deposited in various musuems in India and abroad. The coin deposited in the Nagpur Museum belongs to British Musuem Catalogue (BMC) 2 XI-C and NS 38-A-2
MGV01,Malegav,Coin Hoard,Punch marked coins,Early Historic,On unspecified Numismatics ground,No,None,Unknown,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,"2 silver coins from the hoard are in Central Musuem, Nagpur"
MGV02,Malegav ,Coin Hoard,Padmatankas,Yadava Period,On unspecified Numismatics ground,No,None,15,Gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Deposited in various musuem.
MNA01,Mana,Coin Hoard,Punch marked coins,Early historic (Late Mauryan-Post Mauryan),Punches and weight concentration 3.4-3.1 gms as is noticed in the imperial punch-marked coins.,No,None,86,Copper coins with silver coating,Coins ranges from 3.8- 2.5 gms.,Unknown,"Five symbols: Sun, six armed symbol, hollow triangle with standard, a taurine and a swastik in an oblong enclosure, a tree with broad leaves. (All coins)",Trasceles and Damru  (All coins),Unknown,Unknown,"Pp. 27 and 28 (ND, 16)",,In the private collection of M J Kothalkar
MNA02,Mana,Coin Hoard,Unknown,Early Historic,Punches,No,None,Unknown,Silver,Unknown,Unknown,"Five symbols: Sun, six armed symbol, hollow triangle with standard, a taurine and a swastik in an oblong enclosure, a tree with broad leaves. (All coins)",Trasceles and Damru  (All coins),Unknown,Unknown,None,None,Deposited with local police authorities.
MND04,Mandhal (Rashtriya Vidhyalay),Coin Parcel,Coin no. 1 is Silver Punch -marked Coin; Coin no. 2 is Uninscribed Cast copper Coin; Coin no. 3 Uninscribed diestruck copper coin; Coin no. 4 and 5 is Inscribed Die- struck Copper/ Bronze Coin.,Early Historic,Motiffs and technique,Yes,Coin no.1) Accession no. 71; Reported from trench X (level- 5); Coin no.2) Accession no. 72; Reported from trench Y (level 3); Coin no.3) Accession no. 52; Reported from trench X (level 3); Coin no.4) Accession no. 60; Reported from Trench X (2); Coin no.5) Accession no. 174; Surface. ,13 (Out of which only 5 are studied),Silver,Coin no.1) 2.5 gm; Coin no.2) 8.700 gms ; Coin no.3) 500 gm; Coin no.4) 0.5 gm; Coin no.5) 0.200 gm. ,Coin no.1) 1.2 x 1.3 cm; Coin no.2) 2 x 2 cms; Coin no.3) 0.7 cm; Coin no.4) 0.9 x 0.8; Coin no.5) 0.9 x 0.8,"Coin no.1) ""Five Punches symbols, bearing the sun, sharadachakra with alternating arm consisting of an arrowhead and a taurine (nandipada), thick-leaved tree, of a pair of svastika and nandipada inside a frame and the Indradhavaja i.e. the triangle- headed standard.""  Coin no.2) ""Within a linear spherical border framed within a linear square, two devices- three- arched hill mounted by a crescent and a hollow cross- placed vertically""; Coin no.3) ""Part of Ujjain symbol showing an orb with the crescent and portion of the remaining three orbs and connecting cross- bars. The orbs are quite thick in form and a solid pellet is placed in the centre""; Coin no.4) Very much worn out flan showing faint traces of a thick  circle out of which an arrow (or Chattra) is attached at the lower side on left and some traces of animal figure on the right. Coin no.5) ""Three- arched hill with crescent on the top arch. A wavy line on the right. Part of the Brahmmi legend ""Thima (Pa sa)...""","Coin no.1) ""A triskelies and a dumb- bell""; Coin no.2) Similar frames as on the obverse, but the left and the right verticals of the square frames show double lines. A slightly oblique verticle line coming out of a rectangular base (probably a brick) and a railing device). Below a solid rectangular block (probably a small 'U'- shaped appendage to its right side.""; Coin no.3) Blank; Coin no.4) ""Traces of some akshara, probably.....""Ka ni"".; Coin no.5) ""Faint lines placed little apart slightly tapering. Two wedge shaped strokes in the top left quadrant.""",,,"Pp 73, 75, 76, 77 (NS, 7)",,Nagpur University
MND20,Mandhal,Associated coin(s),Coin of Maharathi,2 nd/ 3 rd century AD,"""The palaeography shows stumpy and remarkably angular letters as the arms of Ma ha and sashow. These can safely be assigned to 2nd/3rd century A.D.",No,None,1,Copper,Coin no. 1) 0.85 gms,"Coin no. 1) length 11 mm, breadth 9 and 10 mm, thickness 1 mm","Coin no. 1) ""Three- arched hill capped by a crescent; to its left a vertical wavy line. Legend along the left and bottom marin, anti-clockwise, stamped a little away from the left edge of the coin: Va ra ya Maharathisa.""","Coin no. 1) ""Completely effaced""",Unknown,Unknown,"Pl. XIV, 5 (JNSI, XXXV)","Coin was obtained by S.G.Chatte while digging the foundation of the building, the coin was recovered along with remains of ring wells and satavahana Black and red Pottery.",Coin is with Mr. S.G. Chatte from Mandhal.
MNL01,Manoli,Coin Hoard,Unknown,Yadava Period,On unspecified Numismatics ground,No,None,17,Gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Deposited in various musuem.
MPR01,Murthijapur,Associated coin(s),"""Gold aureus of Trajan (98-117 AD)""",98-117 AD,"Legend mentions the name of ruler whose life time is given in the ""Date recorded"" column.",No,None,1,Gold,Coin no.1) 7.4 gm,Coin no.1) 19 x 20 mm,"Coin no.1) Bust of Trajan, laureate right, around: ""IMP CAES NER TRAINNA..CCDFRDACPA..CO""","Coin no.1) Two human figures seated back to back legend above ""PM TRP COS VI P..SPQR""",Trajan,Unknown,"Pp. 82 (ND, 32-33)",In the collection of shri kishor Paltewar of the Yavatmal,In the collection of Mr. Kishore Paltewar of Yavatmal.
NDD01,Nanded,Associated coin(s),Coin no. 1 and 2) are Rectangular and Coin no.3 and  4) are Squarish. ,Vakataka,Name of the King in the legend,No,None,4,Copper/ Bronze,Coin no.1) 6.660 gms; Coin no.2) 4.889 gms; Coin no.3) 6.573; Coin no.4) 11.153 gms,Coin no.1) 1.9 x 2.1 cm; Coin no.2) 1.8 x 2.1 cm; Coin no.3) 1.6 x 1.7 cm; Coin no.4) 2.2 x 2.4 cm,"Coin no.1) ""A humped bull facing right with tail hanging down. A triangle headed standard beyond the tail on the extreme left side. Above the animal a svastika and in front of the animal a three- arched hill surmounted by tree with leaves and below a wavy line; The legend above in Brahmi seen from 11 O'clock as ""Vakataka Sarvasena"". Coin no.2) ""A bull facing right with tail hanging down. A triangle-headed standard at the back of the animal. A three arched hill in front of the animal and a double curved line occurs below the feet of the animal. The legend commencing from 10 O'clock runs at the back of the animal, as ""Rajno Vakataka Sarva""; Coin no.3) ""As on coin no. 2. The legend above is partly discernible as ""Vakataka Sar""; Coin no.4) ""A standing humped bull facing right with a svastika above the animal. A six arched hill surmounted by tree with branches in front of the animal and a wavy line along shrivatsa symbol below the animal. The legend above the animal runs from 11 O'clock as ""(Ra)jno Vigasena"" ","Coin no.1) ""Two concentric circles and a double- lined triratna symbol along with a Svastik inside it. There are two single lined triratnas on either side and a svastika symbol on the left side. There is a line above in upper half running diagonally and above it the legend partially discernible as: ""Vakataka Sarva""; Coin no.2) ""A double- lined  triratna symbol and below it two concentric circles and the whole reverse is enclosed in a double lined square. At the top, there is a diagonal line and above it the legend faintly legible as ""Vakataka""; Coin no.3) As on coin no.2.; Coin no.4) ""The two double circles orbs and above it a double lined triratna symbol along with a shrivasta symbol on its left side.",Vakataka king Sarvasena and Vigasena,Unknown,"Pl. VI.1-3 (ONS, 1)",None,In the collection of A. H. Siddiqui.
NGM01,Nagpur Musuem,Uncertain coin,Punch Marked coins,Early Historic,"Coin type belonging to the series as mentioned in the ""Type Number"" column series.",No,None,48,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Belong to BMC class 2 and NS 30 and 40,None,,The hoard is deposited in the Nagpur Musuem but its find spot is not recorded. Their Registration no. in the musuem is 1007 to 1054.
NGP01,Nagpur,Coin Parcel,Unknown,Indo-Sasanian,On unspecified Numismatics ground,No,None,4,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Deposited in Nagpur Musuem
NGR02,Nagara,Associated coin(s),"""Copper coins, ten Kushan and one Pallava"" (IAR 1960-61: 56)","Kushana, Pallava",On unspecified Numismatics ground,No,None,11,Copper,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,None,Unknown
NPR05,Nandpuri,Coin Hoard,Pers Comm. Report of coin hoard dating to the 'Vakataka period' found in this location. Further details unknown,Vakataka,Unknown,Yes,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
NWR01,Newri,Coin Hoard,Punch marked coins,Early Historic,On unspecified Numismatics ground,No,None,138,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,None,Central Musuem Nagpur
NWR02,Newri,Coin Hoard,"Punch marked  coins; ""The coins are of pure silver. They are rectangular in shape and their sides show marks of having been cut to shape by means of a sharp instrument. (Pl.I.3-7). A transverse line caused by the chisel in so doing is seen on the reverse of pl.I.4."" (Dikshit 1964: 92)",Early Historic,"See ""Type number"" column",No,None,Unknown,Silver,Varies from 3.032 to 3.630 grammes,Coin no.1) 2 x 1.4; Coin no. 2) 1.5 x 1.4; Coin no.3) 1.5 x 1.2; Coin no.4)1.4 x 1.2; Coin no.5) 1.5 x 1.4 cms.,"Solar symbol represented by radiating rays; a branched tree; a shadara chakra with three orbs surmounted by umbrellas and the rest three with Taurine symbols. One coin shows the central hub also which consisted of a pellet; triangular- headed banner (Vaijayanti); rectangular tank enclosing the taurine symbol and a swastika, either to its right or left. ",Depiction of two rectangular joined together like a dumbbel; tresceles in a circular incurse.,Unknown,"Belongs to Class II, Group XI, Variety C according to Allan's classification of Punch marked coins. Thet are also similar to Durga Prasad's Serial No. 85, Class A1; and Serial No. 142, Class 38 A2.","Pl. I. 3,4,5,6,7 (JNSI, XXVI)",,"45 of these coins are in Central Musuem, Nagpur"
PDR02,Paundar,Associated coin(s),"""Copper coins of the Vakataka king Prithivishena
and some other Vakataka kings were found"" (IAR 1983-84: 164)",Vakataka,On unspecified Numismatics ground,No,None,Unknown,Copper,Unknown,Unknown,Unknown,Unknown,Prithvishena II and other vakataka Kings,Unknown,None,None,Unknown
PHR02,Pahur ,Coin Hoard,Unknown,Indo-Sasanian,On unspecified Numismatics ground,No,None,646,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,74 were acquired and distributed in various musuems.
PNI03,Pauni,Associated coin(s),"One is uninscribed and other is square in shape and having legend ""no Dimabhaa"", which according to Mirashi belong to Damabhadra or Dimabhadra.",Bhadra period,Legend,No,None,2,Copper,Unknown,Unknown,"Figure of Bull with the legend as ""no Dimabhaa""",Indistinct,Damabhadra or Dimabhadra.,Unknown,"Plate II, B, No.9 (JNSI XL)",None,The coin was lost. The article was written using eye copy which V. V. Mirashi made before it got lost.
PNI04,Pauni,Single Coin,"""Cast coin of bronze almost square in size""….. and ""it is not in a good state of preservation"" (Mirashi 1944: 9); attributed to king Dimabhaga (Jain 1957: 6). ",3rd century BC,Characters in the legend.,No,None,1,Bronze,Coin no.1) 40.5 grains,Coin no.1) 0.6 inch,"Coin no.1) ""a legend in relief, placed almost diagonally with the sun symbol in a  circle above and the figure of a humped bull together with a taurine symbol in front below. "".....legend ""read as ""no Dimabhaa"" It has plainly lost one akshar (ra) in the beginning in the depression whicg has been formed by corrosion. The last letter which appears on the right hand edge of the coin is also partl damaged. Another akshar (sa) may not have come out owing to the smallness of the flan. The complete legend may thus have been ""rano Dimabhaasa"". (Mirashi 1944: 9)","Coin no.1) ""a Taurine symbol and two rectangular figure one below the other"" (Mirashi 1944: 9)",Dimabhaga.,Unknown,Pl. II B.9 (JNSI VI),,Deposited in Nagpur Museum
PNI05,Pauni,Single Coin,Punch marked coin. ,Early Historic,Coin minting technique and depiction of symbols on the obverse side,No,None,1,Copper,Coin no.1) 123 grains ,Coin no.1) 1.89 x 1.87 cm,"Coin no.1) In the centre elephant with upraised trunk and an umbrella on its back  to right, eight- spoked wheel, traingle- headed standard with its lower part flanked by two taurines, thick- leaves tree, svastika, an animal (possibly a dog or a hare). ",Coin no.1) Blank.,Unknown,Unknown,"Pl. IV.2 (JNSI XXXIII, I)",Coin was brought to Chandrashekhar Gupta by Mr. Kawle Babu who got it while ploughing a field at Pauni.,Unknown
PNI06,Pauni,Associated coin(s),Coin of Aryadatta struck with die- striking technique,Early Historic,"""The style of the coin looks contemporary to those of late varieties of Damabhadra"" (Kulkarni 2010-11 (34-35): 9).",No,None,4 (1 is illustrated by Author),Copper,Coin no. 1)  3.46 gm,Coin no. 1) 15 x 17 mm,"Coin no. 1) Bull standing on platform to right, legend above ""Ayadatasa"". Taurine and triscle in the field",Coin no. 1) A decorative symbol made of four taurines sharing the common circular base with a pellet.,Aryadata,Unknown,"Fig. 2 (ND, 34-35)","From the style of the coin, it looks contemporary to those of the late variety of the Damabhadra.",In the collection of Prashant Kulkarni.
PNR02,Paunar,Coin hoard,"""The coin hoard contains 310 coins in an attractive, globular, spouted copper vessel with a fitting lid.""",Vishnukundin (6-7th century AD),On unspecified Numismatics ground,No,None,310,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Pl.XVIII (JNSI, XXXVII)",Some of the coins from the hoard were send to Department of  Archaeological and Ancient History of the M.S. University of Baroda for the analytical study by Prof. S B Deo. ,Unknown
PNR03,Paunar,Associated coin(s),"The coin ""is in a fairly good state of preservation and a major portion of the legend on the reverse is easily  decipherable."" (Shastri 1974: 111) And is round in shape.",Western Kshatrapa,"Date in the obverse (see column ""Obverse Description"")",No,None,1,Silver,Coin no. 1) 2.200 gms,Coin no. 1) 1.3 x 1.3 cms,"Coin no. 1) Bust of the king and behind head there is date; the first digit is clearly 200, the second 30, and last probably 5, so that the year is 235. ","Coin no. 1) In the centre there is three peaked hill; below it a weavy line; on right, a star indicated by a cluster of seven dots; six of them forming circle and on the left there is a cresent. circular brahmi legend beginning at XI oclock.",Kshatrapa Rudrasimha II,Unknown,"Pl.VI.1 (JNSI, XXXVI)",,"In the collection of Raghunath Sanghi, Nagpur"
PNR04,Paunar,Associated coin(s),"Made up of alloyed copper, round in shape.",Vishnukundin ,Coin type,No,None,1,Copper,Coin no. 1) 5.2 gm,Coin no. 1) 1.8 cm,"Coin no. 1) Sturdy bull with prominent hump standing facing right, decorated with jhalar or parda around its hump, within the beaded border letter ""Vi"" written horizontally.","Coin no. 1) Wheel is depicted in a manner as if viewed from sides, with its axle prominent, terminated by the dot in it in each of the four corners; the whole in a radited circle.",Unknown,Unknown,"Pl. IV.I (JNSI, XXXIII-I)",None,"The coin is in private collection of N B Pandhare, retired agricultural development officer (Prasad 1971: 80-83)"
PNR08,Paunar,Associated coin(s),Die struck and square,1st century BC,Legend mentions the name of the king Suryamitasa which on the basis of paleography is dated to 1st century BC (Deshmukh 1987:22),No,None,1,Copper,Coin no. 1) 7.25 gms,Coin no. 1) 2 x 2 cms,"Coin no. 1) A standing figure with jatajuta over the head, holding a staff in the right hand and a kamandalu in the left. On the left side, an inscription in a straight line (to be read from outside) ""Rajno Suyamitasa"".","Coin no. 1) A bull standing to right with furling tail and long horns; in front of it, a plough-like object placed erect over a solid square platform (it may be also blurred railing); over the back of the bull a chakra with eight arrows, surrounding the circle. The entire motif is stamped diagonally (top right bottom)",Suryamitra,Unknown,"Pp. 20 (ND, XI)",The human figure on the obverse is almost the same as is seen on a  number of varieties of the uninscribed coins of the Ujjain.,In the collection of Narayana Deshmukh.
PNR09,Paunar,Associated coin(s),Roughly oval or round,Yadava Period,Name of the ruler in the legend,No,None,3,Silver,Coin no. 1) 0.9; Coin no. 2) 0.17 Coin no. 3) 0.17 gms,Coin no. 1) 0.65 x 0.9; Coin no. 2) 0.6 x 0.6; Coin no. 3) 0.45 x 0.5,"Coin no. 1) Nagari legend in two lines: 1- ""Shri- Rama"", 2- ""Chamda"". Coin no. 2) Nagari legend in two lines: 1- ""Shri- Rama"", 2- Sturdy bull with prominent hump standing facing right, decorated with jhalar or parda around its hump, within the beaded border letter ""Vi"" written horizontally ""deva"". Coin no. 3) Nagari legend in two lines: 1- ""Shri-Rama"", 2-""d(e)vah""","Coin no. 1) Lion to left devised in parts as above. Coin no. 2) Disproportionately formed lion to left as above. The hind portion is much thicker (in the form of a round thick dot) as compared to the body. Coin no. 3) Highly disappropriately formed body of the lion with the hip, shoulders and mouth indicated by thick dots and the body and legs by thin lines, running to left.",Ramachandra,Unknown,"Pp.40-41 (ND, 14)",None,The coin are in the collection of Prashant Kulkarni.
PNR10,Paunar,Associated coin(s),None,Vakataka,"Name of the ruler in the legend (see ""Obverse Description"" column)",No,None,3,Copper,Coin no. 1) 550 mg; Coin no. 2) and 3) not weighed,Coin no. 1) 9 x 12 mm; Coin no. 2) and 3) not mentioned,"Coin no. 1) Three arched hill with crescent flanked by two river-like wavy lines. Brahmi legend written in anti-clockwise direction around the four edges: Left margin- Kevarana, Bottom: (Maharathi) sa, Right margin: (Gauta) miputasa, Top margin: Vijhasati (Coin no.2 and 3 also have same depiction)",Coin no. 1)Tee in railing and a little triangle headed standard to the right of the railing. Coin no. 2) and 3) Blank,Vindhyashakti,Unknown,"Pp.66-67 (ND, 25-26)",None,Possibly in the Custody of Prashant Kulkarni.
PNR11,Paunar,Associated coin(s),None,Vakataka,"Name of the ruler in the legend (see ""Obverse Description"" column)",No,None,1,Copper,Coin no. 1) 440 mg,Coin no. 1) 9 x 10 mm,"Coin no. 1) Bold Brahmi characters ""ya Vri ddhi""",Coin no. 1) Humped bull seated  to right,Unknown,Unknown,"Pp.71 (ND, 25-26)",None,Possibly in the Custody of Prashant Kulkarni.
PNR12,Paunar,Associated coin(s),None,Vakataka,Depiction of Lazy heart-like circle with knot at a top within beaded border in the reverse,No,None,2,Lead,Coin no. 1) 750 mg; Coin no. 2) 1.160 g,Coin no. 1) 12 x 13 mm; Coin no. 2) 13 x 15 mm,Coin no. 1 and 2) Humped bull seated to right (like on the coin of Pravarasena).,Coin no. 1 and 2) Diagram of a Lazy heart-like circle drawn with a knot at the top within a beaded border (like the coin of Prithvishena).,Unknown,Unknown,"Pp.74 (ND, 25-26)",None,Possibly in the Custody of Prashant Kulkarni.
PNR13,Paunar,Associated coin(s),"""Coins of the Mitras and Bhadras who ruled over the Vidarbha region in the post-Mauryan and pre-Satavahana period were found at Paunar and are preserved in the collections of Prashant Kulkarni and Raghunath Sanghi. A copper coin of the punchmarked type attributed to a king named Subandhu was also discovered and is preserved in Prashant Kulkarni's collection. New varieties of the copper coins of the Kalachuri king Krishnaraja and altogether unknown coins of Sankaragana and Bhudharaja are in the collections of Prashant Kulkarni and Chandmal Verrna. It is interesting that all these coins are in Vishnukundin fabric"". (IAR 1989-90: 121)",Early historic,On unspecified Numismatics ground,No,None,Unknown,Copper,Unknown,Unknown,Unknown,Unknown,"Mitras and Bhadras;  king Subandhu. Kalachuri king Krishnaraja, Sankaragana and Bhudharaja ",Unknown,None,None,All these coins are in the collection of Prashant Kulkarni and Chandmal Verrna
PNR34,Paunar,Associated coin(s),"""…One of these is similar to those found at Kotalingala"" …(Sastry 1978 (ND II, Part 1): 10)... ""but the other is entirely new."" (Kulkarni 1990 (ICSNL, No. 1): 1)",Satavahana,Legend,No,None,2,Copper,Coin no. 1) Unknown; Coin no. 2) 1.75 g,Coin no. 1) Unknown;  Coin no. 2) 13 x 15 mm,"Coin no. 1) ""Elephant to left with trunk upraised; triangle- headed standard on the bank of the animal; above it legend in Brahmi [Si] richhi mu ka sa ta [va].""(Sastry 1978 (ND II, Part 1): 10);  Coin no. 2) ""A triangle headed standard fitted into railing, nandipadaand Ujjaini symbol in a row. Above these symbols is legend in Brahmi ""(Ra)no Siri Chhimukasa"". The last letter Sa might be a part of the word ""Satavahanasa."" (Kulkarni 1990 (ICSNL, No. 1): 1-2) ","Coin no. 1) ""Ujjain symbol with pellet in two circles; crescent on one orb; small svastikas in each corner."" (Sastry 1978 (ND II, Part 1): 11);  Coin no. 2) ""Tree in railing and a wavy line (river) below."" (Kulkarni 1990 (ICSNL, No. 1): 1-2)",Chhimuka,Unknown,"Pp.10  (ND II, Part 1); Pp.1 (ICSNL, No. 1)",None,"Coin no. 1) Coin with S. Narahari, an officer in the Postal Department at Karimnagar (Andhra Pradesh). Coin no. 2) In Prashant Kulkarni's Collection."
PNR35,Paunar,Associated coin(s),None,Vakataka,Legend mention the name of the king,No,None,1,Copper,Coin no. 1) 0.632 g,Coin no. 1) 9 mm,"Coin no. 1) ""Legend in bold characters in the box- headed variety of Brahmi, beginning at 8 o'clock (Shri-Ma) haraja-Prithivi along the circular edge.""","Coin no. 1) ""In the centre, a device consisting of a circle with a semicircle inside it attached to its left portion; the whole within a beaded (or dotted) circle. Incuse mark visible along the edge.""",Prithvishena II ,Unknown,"Pp. 2 (ICSNL, No. 4)",None,In the collection of Prashant Kulkarni
PNR36,Paunar,Associated coin(s),None,4th century BCE,"""as it has only four punches""",No,None,1,Lead,Coin no. 1) 24.100 g,Coin no. 1) 2.5 x 2.9 cm,"Coin no. 1) ""Four punches areas can be made out on the flan. The lower left corner shows Ujjain symbol. Only two of its orbs encircling a svastika each, appear on the flan. The area above it had a large floral device. Only leaves are seen. One big size leaf is seen at lower left bottom. The upper leaves are smaller in size and some show devices (Swastika?) inside them. On the top an mid right side a stylised flower design was punched. Several round ended petals are arranged around a central oblong circle. All the petals have solid triangular devices inside them. The central one has a branch or a twig like device. In the central area a deep punch is seen with promnent incuse mark. A nandipada (taurine) and faint traces of the upraised trunk and upper portion of an elephant can be made out in this punch. In the lower right corner there is a small incuse. It is difficult to say whether it is accidental or a part of one of the punches.""","Coin no. 1) ""Blank""",Unknown,Unknown,"Pp. 1 (ICSNL, No. 6)",,From the coin cabinet of Raghunath Sanghi
PPR06,Pimparkheda,Coin Hoard,Unknown,Indo-Sassanian,On unspecified Numismatics ground,No,None,2404,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,None,Not acquired (Jain 1957: 15)
PSD02,Pusad,Associated coin(s),"Rectangular in shape and is heavy in weight. The coin is slightly broken at a corner so the weight may be more than 13 grams, possibly it is double denomination coin.",Early Historic,Coin type and assimilation with Sebaka coins especially from Pusad hoard,No,None,1,Copper,Coin no.1) 12.55 gms,Coin no.1) 2.5 x 2.7 cms,"Coin no.1) Bull facing right with six arched hill, indra dhwaja, two small early format Swastik, three fishes and one tortoise in the river.",Coin no.1) Shrivatsa and triratna symbols on an ornate pedestral.,Sebaka,Unknown,"Pp. 1 (CCS, No.9)",None,In the collection of Naresh Chamedia.
